,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26
1,0,61.10980392,76.51372549,61.25098039,60.34509804,73.24313725,73.49803922,65.38823529,60.83529412,65.37647059,56.56862745,52.20784314,69.28235294,63.67843137,76.57254902,60.78039216,92.9372549,54.13333333,64.7372549,70.82352941,73.45490196,78.44313725,69.82352941,57.95294118,72.04313725,62.05098039
2,61.10980392,0,50.77647059,28.70588235,23.72941176,38.19607843,44.30980392,26.89803922,57.22352941,49.8745098,43.39607843,41.02745098,63.52941176,40.78823529,57.07843137,27.65490196,77.30980392,25.77647059,33.25098039,59.01568627,37.99215686,66.60392157,58.75294118,58.21568627,63.56078431,40.18823529
3,76.51372549,50.77647059,0,46.55686275,44.63921569,49.2,18.05098039,61.00784314,53.7254902,42.88627451,62.32941176,49.84313725,69.03529412,62.8745098,38.59215686,59.85098039,59.30196078,62.39607843,42.59215686,49.5254902,41.49019608,65.36470588,70.58823529,62.27058824,61.64705882,44.81568627
4,61.25098039,28.70588235,46.55686275,0,34.51372549,44.55686275,51.09411765,40.20784314,37.60784314,35.33333333,48.51764706,30.02352941,78.22745098,39.72941176,35.70588235,28.94117647,63.03529412,37.79215686,39.59607843,53.02352941,21.23137255,58.10980392,72.99607843,57.76078431,60.31372549,42
5,60.34509804,23.72941176,44.63921569,34.51372549,0,19.59607843,50.77647059,31.2627451,44.71764706,49.87058824,29.58823529,33.07058824,69.61960784,36.02352941,51.77254902,33.16470588,75.3372549,27.23137255,31.06666667,44.75294118,38.01176471,62.31764706,62.34901961,41.63921569,49.94117647,28.62352941
6,73.24313725,38.19607843,49.2,44.55686275,19.59607843,0,56.64705882,40.96078431,42.83921569,53.35686275,34.18823529,46.81568627,62.68235294,43.58823529,63.47058824,27.3254902,81.2,34.6627451,44.5372549,39.47843137,44.82352941,53.01960784,63.43529412,48.25490196,47.61568627,46.03137255
7,73.49803922,44.30980392,18.05098039,51.09411765,50.77647059,56.64705882,0,58.54901961,57.47058824,46.99215686,63.47843137,56.80392157,67.24313725,62.21960784,45.68627451,58.6627451,60.30980392,63.19215686,42.47058824,57.23137255,45.2745098,67.79215686,63.95686275,62.43921569,68.09803922,47.58039216
8,65.38823529,26.89803922,61.00784314,40.20784314,31.2627451,40.96078431,58.54901961,0,69.32941176,51,35.07843137,43.03137255,53.18823529,26.94117647,73.80392157,39.28235294,75.89411765,30.97254902,42.54901961,68.70588235,35.28235294,62.02745098,43.21960784,56.19607843,64.91372549,50.62352941
9,60.83529412,53.59215686,53.7254902,37.60784314,44.71764706,35.34117647,57.47058824,58.22352941,0,37.27843137,58.26666667,21.85882353,86.44705882,63.69019608,61.0627451,38.03137255,84.54901961,53.00784314,52.39607843,21.81568627,50.32156863,60.63529412,85.98431373,45.65098039,37.28627451,41.00392157
10,65.37647059,49.8745098,42.88627451,35.33333333,49.87058824,53.35686275,46.99215686,51,31.4745098,0,62.77647059,53.94509804,86.21960784,50.38823529,68.19215686,52.21960784,63.77254902,59.70588235,42.06666667,42.75686275,25.67058824,60.43137255,72.29019608,57.49411765,58.58039216,49.65490196
11,56.56862745,43.39607843,62.32941176,48.51764706,29.58823529,34.18823529,63.47843137,35.07843137,58.68235294,62.77647059,0,49.45882353,59.02745098,34.48235294,76.27058824,42.76862745,86.59607843,22.24705882,46.23137255,59.71372549,50.25098039,62.21960784,51.84313725,35.03137255,57.24705882,41.85098039
12,52.20784314,41.02745098,49.84313725,30.02352941,33.07058824,46.81568627,56.80392157,43.03137255,21.85882353,53.94509804,49.45882353,0,76.26666667,50.61568627,51.45490196,48.84705882,74.95686275,49.87843137,49.9254902,53.16470588,38.01568627,68.18823529,71.55294118,52.96862745,53.05882353,43.95294118
13,69.28235294,63.52941176,69.03529412,78.22745098,69.61960784,62.68235294,67.24313725,53.18823529,92.42352941,86.21960784,59.02745098,76.26666667,0,50.69411765,86.09019608,63.84313725,83.81960784,55.89411765,78.00392157,84.1372549,79.16078431,77.25490196,45.44313725,70.23921569,70.93333333,70.47058824
14,63.67843137,40.78823529,62.8745098,39.72941176,36.02352941,43.58823529,62.21960784,26.94117647,69.91764706,50.38823529,34.48235294,50.61568627,50.69411765,0,69.55294118,42.97647059,77.10980392,36.36862745,44.5254902,65.05882353,35.61960784,64.21568627,48.58431373,44.85490196,58.3254902,53.74509804
15,70.18823529,48.44313725,27.02352941,35.53333333,51.77254902,62.49803922,32.1254902,62.72156863,61.0627451,37.7372549,71.15686275,51.45490196,69.8,60.95686275,0,53.99607843,47.64313725,60.61960784,41.56862745,59.3254902,35.21960784,56.65490196,65.6745098,75.40392157,71.51764706,50.29411765
16,60.78039216,27.65490196,59.85098039,28.94117647,33.16470588,27.3254902,58.6627451,39.28235294,38.03137255,52.21960784,42.76862745,48.84705882,63.84313725,42.97647059,53.99607843,0,75.84313725,27.16470588,42.06666667,49.98039216,40.35294118,49.89803922,68.3372549,57.05490196,54.55686275,49.00392157
17,92.55294118,68.25882353,46.70588235,56.05490196,71.75294118,81.2,51.37647059,75.89411765,84.54901961,58.85490196,86.59607843,71.55294118,83.81960784,77.10980392,63.61176471,74.90980392,0,80.73333333,62.03529412,75.97254902,52.54901961,64.64313725,71.62352941,84.90588235,87.04313725,70.68235294
18,54.13333333,25.77647059,62.39607843,37.79215686,27.23137255,34.6627451,63.19215686,30.97254902,60.80392157,59.70588235,22.24705882,49.87843137,55.89411765,36.36862745,72.16470588,27.16470588,84.78039216,0,40.23529412,65.1372549,48.48235294,62.65490196,58.96862745,49.29411765,68.34901961,47.65098039
19,64.7372549,33.25098039,42.59215686,39.59607843,31.06666667,44.5372549,42.47058824,42.54901961,52.39607843,42.06666667,46.23137255,49.9254902,78.00392157,44.5254902,54.43137255,42.06666667,74.09803922,40.23529412,0,52.60392157,39.26666667,62.25490196,67.94117647,51.35686275,55.71372549,32.18431373
20,64.76862745,59.01568627,49.5254902,48.48235294,44.75294118,39.47843137,57.23137255,68.70588235,21.81568627,42.75686275,59.71372549,37.78431373,84.1372549,65.05882353,59.37254902,48.86666667,75.97254902,63.38823529,52.60392157,0,51.74509804,55.84705882,81.21960784,52.03137255,31.82352941,43.26666667
21,73.45490196,37.99215686,41.49019608,21.23137255,38.01176471,44.82352941,45.2745098,35.28235294,55.42745098,25.67058824,50.25098039,38.01568627,79.16078431,35.61960784,49.6745098,40.35294118,52.54901961,48.48235294,39.26666667,51.74509804,0,47.86666667,65.75686275,60.6,55.2627451,44.72941176
22,81.43137255,66.60392157,65.36470588,58.10980392,62.31764706,53.01960784,67.79215686,62.02745098,60.63529412,60.43137255,62.21960784,68.18823529,77.25490196,64.21568627,63.81568627,49.89803922,64.64313725,62.65490196,62.25490196,55.84705882,47.86666667,0,63.0745098,66.03529412,49.42745098,64.36078431
23,69.82352941,58.75294118,70.58823529,72.99607843,62.34901961,63.43529412,63.95686275,43.21960784,88.29019608,72.29019608,51.84313725,71.55294118,45.44313725,48.58431373,82.36470588,68.3372549,71.62352941,58.96862745,67.94117647,81.21960784,65.75686275,63.0745098,0,62.6627451,78.08627451,66.8627451
24,57.95294118,58.21568627,62.27058824,57.76078431,41.63921569,48.25490196,62.43921569,56.19607843,45.65098039,57.49411765,35.03137255,52.96862745,70.23921569,44.85490196,75.74117647,57.05490196,84.90588235,49.29411765,51.35686275,52.03137255,60.6,66.03529412,62.6627451,0,39.6745098,33.79215686
25,70.8745098,63.56078431,61.64705882,60.31372549,49.94117647,47.61568627,68.09803922,64.91372549,37.28627451,58.87843137,57.24705882,53.05882353,70.93333333,58.3254902,71.51764706,54.55686275,87.04313725,68.34901961,55.71372549,31.82352941,55.2627451,49.42745098,78.08627451,39.6745098,0,41.04313725
26,62.05098039,40.18823529,44.81568627,42,28.62352941,46.03137255,47.58039216,50.62352941,41.00392157,49.65490196,41.85098039,43.95294118,70.47058824,53.74509804,59.04705882,49.00392157,73.16078431,47.65098039,32.18431373,43.26666667,44.72941176,64.36078431,66.8627451,33.79215686,41.04313725,0
